1682570854_papik-pro-p-smail-krinzh-png-35.png	Смайлики мемы	Мемный смайлик с нарочито нелепым, кринжовым выражением лица.
1682570844_papik-pro-p-smail-krinzh-png-24.png	Смеющийся смайлик	Смайлик с выражением сильного смеха.
1682570855_papik-pro-p-smail-krinzh-png-38.png	Смешные смайлики для Discord	Мемный Discord-смайлик с гротескной мимикой.
1682570855_papik-pro-p-smail-krinzh-png-39.jpg	Джоджо эмодзи Discord	Мемный эмодзи, стилизованный под JoJo, с утрированным выражением лица.
1682570864_papik-pro-p-smail-krinzh-png-50.jpg	Страшный смайлик	Искажённый пугающий смайлик с гротескной мимикой.
1682570861_papik-pro-p-smail-krinzh-png-45.jpg	Смеющийся и плачущий смайлик	Смайлик, одновременно передающий сильный смех и слёзы.
1682570827_papik-pro-p-smail-krinzh-png-8.png	Эмодзи-мем	Мемный эмодзи с намеренно нелепой мимикой.
1682570846_papik-pro-p-smail-krinzh-png-25.png	Стикер для Discord	Мемный стикер для Discord с выразительным лицом.
1682570821_papik-pro-p-smail-krinzh-png-1.png	Смешной смайлик	Классический мемный смайлик с комично искажённым выражением лица.
1682570829_papik-pro-p-smail-krinzh-png-14.jpg	Страшный смайлик	Мемный смайлик с тревожным или пугающим выражением.
1682570841_papik-pro-p-smail-krinzh-png-21.png	Ахегао-эмодзи	Гротескный мемный эмодзи с сильно преувеличенным выражением лица.
1682570859_papik-pro-p-smail-krinzh-png-44.png	Страшный смайлик	Пугающий мемный смайлик с искажёнными чертами лица.
1682570821_papik-pro-p-smail-krinzh-png-2.png	Смайлик с оружием	Чёрно-юмористический мемный смайлик с оружием у головы.
1682570826_papik-pro-p-smail-krinzh-png-7.png	Эмодзи-улыбка	Смайлик с широкой, слегка неестественной мемной улыбкой.
1682570848_papik-pro-p-smail-krinzh-png-28.png	Эмодзи JoJo	Мемный эмодзи в стилистике JoJo.
1682570823_papik-pro-p-smail-krinzh-png-5.png	Ахегао-эмодзи	Гротескный эмодзи с нарочито преувеличенной мимикой.
1682570851_papik-pro-p-smail-krinzh-png-32.jpg	Кринж-смайлик	Смайлик, передающий неловкость, кринж или дискомфорт.
1682570830_papik-pro-p-smail-krinzh-png-16.png	Смайлик моется	Комичный смайлик, изображённый во время мытья.
1682570855_papik-pro-p-smail-krinzh-png-37.jpg	Смайлики и сердечки	Мемная композиция со смайликами и сердечками.
1682570827_papik-pro-p-smail-krinzh-png-10.png	XD-смайлик	Смайлик с выражением громкого смеха в духе текстового «XD».
1682570828_papik-pro-p-smail-krinzh-png-12.png	Смайл-мем	Комичный мемный смайлик с утрированной мимикой.
1682570842_papik-pro-p-smail-krinzh-png-22.png	«Не стоит паниковать»	Мемный смайлик, связанный с паникой или попыткой сохранять спокойствие.
1682570847_papik-pro-p-smail-krinzh-png-27.png	Упоротый смайл	Нарочито странный смайлик с абсурдным, ошалелым выражением.
1682570850_papik-pro-p-smail-krinzh-png-31.jpg	Cursed emoji	«Проклятый» мемный эмодзи с намеренно тревожным или нелепым видом.
1682570834_papik-pro-p-smail-krinzh-png-18.png	Смешные смайлы	Комичный мемный смайлик с преувеличенной мимикой.
1682570857_papik-pro-p-smail-krinzh-png-43.png	Смайлик с зубами	Смайлик с подчёркнуто заметными зубами и гротескной улыбкой.
1682570832_papik-pro-p-smail-krinzh-png-17.png	Ржачный смайлик	Смайлик, передающий очень сильный, почти истерический смех.
1682570826_papik-pro-p-smail-krinzh-png-6.png	Cringe emoji	Мемный эмодзи, выражающий неловкость или кринж.
1682570854_papik-pro-p-smail-krinzh-png-36.jpg	Смешной смайл-мем	Мемный смайлик с комически искажённым выражением лица.
1682570822_papik-pro-p-smail-krinzh-png-4.png	Рожица-кринж	Гротескная рожица, передающая неловкость и кринж.
1682570852_papik-pro-p-smail-krinzh-png-34.png	Смайлик с красными глазами	Мемный смайлик с ярко выделенными красными глазами.
1682570836_papik-pro-p-smail-krinzh-png-19.png	Стикер для Discord-сервера	Мемный стикер с необычной выразительной мимикой.
1682570856_papik-pro-p-smail-krinzh-png-42.png	Смеющийся смайлик со слезами	Смайлик, который смеётся до слёз.
1682570863_papik-pro-p-smail-krinzh-png-46.jpg	Смайлик смеётся и плачет	Гротескный смайлик, сочетающий смех и слёзы.
1682570864_papik-pro-p-smail-krinzh-png-49.jpg	Злой смеющийся смайлик со слезами	Смайлик со злой мимикой, смехом и слезами.
1682570848_papik-pro-p-smail-krinzh-png-29.png	3D-смайлик	Объёмный трёхмерный смайлик с мемной мимикой.
1682570828_papik-pro-p-smail-krinzh-png-11.png	Смайлик из «Одноклассников» в плохом качестве	Намеренно низкокачественный улыбающийся смайлик в ретро-интернетной эстетике.
1682570846_papik-pro-p-smail-krinzh-png-26.jpg	Смайлик отчаяния	Смайлик с выражением сильного отчаяния или бессилия.
1682570829_papik-pro-p-smail-krinzh-png-13.png	GIF-смайлик	Мемный смайлик, представленный на странице как «гиф»-смайлик.
1682570827_papik-pro-p-smail-krinzh-png-9.png	Кринж-смайлик	Смайлик с неловким, дискомфортным выражением лица.
1682570851_papik-pro-p-smail-krinzh-png-33.png	Стикер с очками	Мемный смайлик или персонаж в очках.
1682570837_papik-pro-p-smail-krinzh-png-20.png	Страшный смайлик	Тревожный мемный смайлик с гротескно искажённым лицом.
1682570830_papik-pro-p-smail-krinzh-png-15.png	Смешные эмодзи	Мемный эмодзи с преувеличенно комичным выражением.
1682570863_papik-pro-p-smail-krinzh-png-48.jpg	Смайлик без зубов	Смайлик с беззубой улыбкой или подчёркнутым отсутствием зубов.
1682570855_papik-pro-p-smail-krinzh-png-41.jpg	Смайлик с зубами	Смайлик с гипертрофированной зубастой улыбкой.
1682570843_papik-pro-p-smail-krinzh-png-23.jpg	Эмодзи-кринж	Мемный эмодзи, выражающий неловкость и дискомфорт.
1682570822_papik-pro-p-smail-krinzh-png-3.png	Смайлик в очках	Комичный мемный смайлик в очках.
1682570850_papik-pro-p-smail-krinzh-png-30.png	«Хм» мем	Задумчивый или подозрительный мемный смайлик в духе реакции «хм».
